300 P2 problems currently complete (of 300) -- scoring these now
fetched 300 problem texts
  25/300 problems, 0 new scores, 1.2min elapsed
  50/300 problems, 0 new scores, 2.3min elapsed
  75/300 problems, 32 new scores, 3.8min elapsed
  100/300 problems, 32 new scores, 5.2min elapsed
  125/300 problems, 32 new scores, 6.6min elapsed
  150/300 problems, 32 new scores, 8.0min elapsed
  175/300 problems, 32 new scores, 9.2min elapsed
  200/300 problems, 32 new scores, 10.7min elapsed
  225/300 problems, 32 new scores, 12.1min elapsed
  250/300 problems, 32 new scores, 13.3min elapsed
  275/300 problems, 32 new scores, 14.7min elapsed
  300/300 problems, 32 new scores, 16.2min elapsed
done: 32 new scores, 970.5s
