starting fresh
3200 tasks remaining out of 3200
  100/3200 done, 0 failed so far, elapsed 4.5min, ETA 139.3min
  200/3200 done, 0 failed so far, elapsed 9.5min, ETA 142.9min
  300/3200 done, 0 failed so far, elapsed 14.3min, ETA 138.1min
  400/3200 done, 0 failed so far, elapsed 17.9min, ETA 125.4min
  500/3200 done, 0 failed so far, elapsed 21.7min, ETA 117.3min
  600/3200 done, 0 failed so far, elapsed 27.4min, ETA 118.8min
  700/3200 done, 0 failed so far, elapsed 31.8min, ETA 113.6min
  800/3200 done, 0 failed so far, elapsed 38.3min, ETA 115.0min
  900/3200 done, 0 failed so far, elapsed 43.6min, ETA 111.4min
  1000/3200 done, 0 failed so far, elapsed 49.4min, ETA 108.8min
  1100/3200 done, 0 failed so far, elapsed 56.0min, ETA 106.9min
  1200/3200 done, 0 failed so far, elapsed 61.3min, ETA 102.1min
  1300/3200 done, 0 failed so far, elapsed 66.0min, ETA 96.5min
  1400/3200 done, 0 failed so far, elapsed 72.2min, ETA 92.9min
  1500/3200 done, 0 failed so far, elapsed 79.0min, ETA 89.6min
  1600/3200 done, 0 failed so far, elapsed 82.8min, ETA 82.8min
  1700/3200 done, 0 failed so far, elapsed 88.2min, ETA 77.9min
  1800/3200 done, 0 failed so far, elapsed 94.2min, ETA 73.2min
  1900/3200 done, 0 failed so far, elapsed 100.6min, ETA 68.9min
  2000/3200 done, 0 failed so far, elapsed 104.5min, ETA 62.7min
  2100/3200 done, 0 failed so far, elapsed 107.8min, ETA 56.5min
  2200/3200 done, 0 failed so far, elapsed 113.3min, ETA 51.5min
  2300/3200 done, 0 failed so far, elapsed 118.5min, ETA 46.4min
  2400/3200 done, 0 failed so far, elapsed 123.7min, ETA 41.2min
  2500/3200 done, 0 failed so far, elapsed 128.6min, ETA 36.0min
  2600/3200 done, 0 failed so far, elapsed 132.0min, ETA 30.5min
  2700/3200 done, 0 failed so far, elapsed 137.0min, ETA 25.4min
  2800/3200 done, 0 failed so far, elapsed 142.8min, ETA 20.4min
  2900/3200 done, 0 failed so far, elapsed 149.3min, ETA 15.4min
  3000/3200 done, 0 failed so far, elapsed 153.8min, ETA 10.3min
  3100/3200 done, 0 failed so far, elapsed 160.5min, ETA 5.2min
  3200/3200 done, 0 failed so far, elapsed 166.9min, ETA 0.0min
First pass: 3200 succeeded, 0 failed in 166.9 min
TOTAL in notes/scratch/day4_pool.jsonl: 3200/3200
