starting fresh
800 tasks remaining out of 800
  50/800 done, 0 failed, elapsed 0.7min
  100/800 done, 0 failed, elapsed 2.1min
  150/800 done, 0 failed, elapsed 3.1min
  200/800 done, 0 failed, elapsed 4.8min
  250/800 done, 0 failed, elapsed 6.6min
  300/800 done, 0 failed, elapsed 8.2min
  350/800 done, 0 failed, elapsed 9.2min
  400/800 done, 0 failed, elapsed 11.0min
  450/800 done, 0 failed, elapsed 12.7min
  500/800 done, 0 failed, elapsed 14.4min
  550/800 done, 0 failed, elapsed 16.3min
  600/800 done, 0 failed, elapsed 18.1min
  650/800 done, 0 failed, elapsed 20.1min
  700/800 done, 0 failed, elapsed 21.9min
  750/800 done, 0 failed, elapsed 23.8min
  800/800 done, 0 failed, elapsed 25.7min
First pass: 800 succeeded, 0 failed in 25.7 min
TOTAL in notes/scratch/day4_weaker_policy_pool.jsonl: 800/800
800 pairs already done
2400 tasks remaining out of 3200
  50/2400 done, 0 failed, elapsed 0.6min
  100/2400 done, 0 failed, elapsed 1.3min
  150/2400 done, 0 failed, elapsed 2.1min
  200/2400 done, 0 failed, elapsed 3.1min
  250/2400 done, 0 failed, elapsed 4.0min
  300/2400 done, 0 failed, elapsed 5.6min
  350/2400 done, 0 failed, elapsed 6.4min
  400/2400 done, 0 failed, elapsed 7.7min
  450/2400 done, 0 failed, elapsed 8.8min
  500/2400 done, 0 failed, elapsed 9.5min
  550/2400 done, 0 failed, elapsed 10.4min
  600/2400 done, 0 failed, elapsed 11.7min
  650/2400 done, 0 failed, elapsed 12.5min
  700/2400 done, 0 failed, elapsed 13.5min
  750/2400 done, 0 failed, elapsed 14.7min
  800/2400 done, 0 failed, elapsed 15.4min
  850/2400 done, 0 failed, elapsed 16.6min
  900/2400 done, 0 failed, elapsed 17.9min
  950/2400 done, 0 failed, elapsed 19.1min
  1000/2400 done, 0 failed, elapsed 20.9min
  1050/2400 done, 0 failed, elapsed 22.1min
  1100/2400 done, 0 failed, elapsed 23.6min
  1150/2400 done, 0 failed, elapsed 25.0min
  1200/2400 done, 0 failed, elapsed 26.8min
  1250/2400 done, 0 failed, elapsed 28.2min
  1300/2400 done, 0 failed, elapsed 29.7min
  1350/2400 done, 0 failed, elapsed 31.4min
  1400/2400 done, 0 failed, elapsed 32.9min
  1450/2400 done, 0 failed, elapsed 34.2min
  1500/2400 done, 0 failed, elapsed 35.5min
  1550/2400 done, 0 failed, elapsed 37.4min
  1600/2400 done, 0 failed, elapsed 39.0min
  1650/2400 done, 0 failed, elapsed 40.6min
  1700/2400 done, 0 failed, elapsed 42.3min
  1750/2400 done, 0 failed, elapsed 44.0min
  1800/2400 done, 0 failed, elapsed 45.5min
  1850/2400 done, 0 failed, elapsed 47.3min
  1900/2400 done, 0 failed, elapsed 48.4min
  1950/2400 done, 0 failed, elapsed 50.0min
  2000/2400 done, 0 failed, elapsed 51.7min
  2050/2400 done, 0 failed, elapsed 53.4min
  2100/2400 done, 0 failed, elapsed 55.1min
  2150/2400 done, 0 failed, elapsed 57.1min
  2200/2400 done, 0 failed, elapsed 58.9min
  2250/2400 done, 0 failed, elapsed 60.9min
  2300/2400 done, 0 failed, elapsed 62.7min
  2350/2400 done, 0 failed, elapsed 64.7min
  2400/2400 done, 0 failed, elapsed 66.5min
First pass: 2400 succeeded, 0 failed in 66.5 min
TOTAL in notes/scratch/day4_weaker_policy_pool.jsonl: 3200/800
